Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-03-14,,,,,0.5,889.5,148.0,225.0
2019-03-13,882.75,889.25,882.5,888.5,4.25,889.0,215.0,198.0
2019-03-12,880.5,885.0,880.25,884.75,7.0,884.75,237.0,325.0
2019-03-11,884.5,884.5,878.5,878.5,6.0,877.75,436.0,728.0
2019-03-08,891.0,891.5,880.0,883.25,7.0,883.75,1275.0,1126.0
2019-03-07,892.0,893.75,887.0,890.5,1.0,890.75,2606.0,1734.0
2019-03-06,900.5,903.5,889.5,889.5,11.5,889.75,2100.0,2129.0
2019-03-05,904.75,904.75,896.75,901.5,2.0,901.25,3335.0,3039.0
2019-03-04,901.25,912.25,901.25,903.0,4.0,903.25,4163.0,3645.0
2019-03-01,897.25,905.0,888.25,898.5,1.75,899.25,8163.0,5719.0
2019-02-28,903.0,905.25,897.0,897.25,6.0,897.5,12439.0,10012.0
2019-02-27,903.0,910.0,900.75,903.0,0.25,903.5,64999.0,34343.0
2019-02-26,910.0,910.75,899.0,903.5,8.0,903.75,74660.0,57793.0
2019-02-25,918.0,921.0,910.25,910.25,1.5,911.75,91623.0,82090.0
2019-02-22,910.25,914.75,907.5,907.25,0.75,910.25,80893.0,139215.0
2019-02-21,902.75,916.75,900.0,910.0,8.5,911.0,146573.0,170523.0
2019-02-20,902.0,905.0,893.25,902.5,1.75,902.5,109003.0,188866.0
2019-02-19,907.25,911.25,894.75,901.0,6.75,900.75,87098.0,195018.0
2019-02-15,905.25,909.75,901.25,907.0,4.0,907.5,92073.0,221615.0
2019-02-14,915.75,918.25,903.0,904.25,13.0,903.5,93601.0,228969.0
2019-02-13,916.75,920.0,913.75,916.25,1.0,916.5,69702.0,238710.0
2019-02-12,905.5,919.75,905.5,917.5,12.5,917.5,110999.0,249316.0
2019-02-11,914.75,918.75,903.5,905.0,9.5,905.0,108350.0,259757.0
2019-02-08,913.0,918.0,908.0,914.0,1.25,914.5,120583.0,273255.0
2019-02-07,919.5,921.5,910.5,913.0,8.5,913.25,105621.0,282947.0
2019-02-06,920.0,922.5,917.5,920.5,1.5,921.75,92287.0,295230.0
2019-02-05,917.75,921.0,913.5,920.0,1.75,920.25,74355.0,297919.0
2019-02-04,917.0,923.75,915.5,917.75,0.75,918.5,70275.0,294974.0
