Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,mintemp,maxtemp,avgtemp
2015-12-31,875.0,879.25,870.0,871.0,4.25,871.25,12579.0,18252.0,34.46025104602511,46.76150627615063,40.96443514644351
2015-12-30,870.0,878.25,869.0,874.25,5.5,875.5,26033.0,27996.0,37.65690376569037,48.53138075313807,42.71757322175732
2015-12-29,866.5,876.25,865.0,869.75,5.0,870.0,45812.0,41805.0,36.16142557651992,49.0083857442348,42.35220125786164
2015-12-28,873.0,874.5,864.0,867.0,10.25,865.0,41472.0,58158.0,36.2436974789916,50.83613445378151,43.27731092436975
2015-12-24,882.75,885.0,875.0,877.0,6.5,875.25,31325.0,71137.0,45.41386554621849,61.67016806722689,53.79201680672269
2015-12-23,885.0,888.75,881.0,881.5,3.5,881.75,56529.0,88038.0,47.86105263157895,62.602105263157895,55.421052631578945
2015-12-22,891.0,895.0,885.0,885.25,6.0,885.25,54255.0,97514.0,44.519916142557655,59.102725366876314,51.501048218029354
2015-12-21,892.0,896.25,887.0,889.0,1.0,891.25,65830.0,111838.0,39.958071278826,56.096436058700206,48.115303983228515
2015-12-18,876.0,893.5,873.25,891.75,15.25,892.25,130832.0,131663.0,26.909663865546218,45.48739495798319,36.85294117647059
2015-12-17,860.0,878.25,854.0,874.5,14.5,877.0,149637.0,147480.0,35.304621848739494,51.680672268907564,44.05252100840336
2015-12-16,867.0,871.0,856.0,863.0,4.75,862.5,127830.0,156400.0,37.42767295597484,57.17819706498952,47.704402515723274
2015-12-15,873.5,877.5,866.5,866.5,7.0,867.25,101978.0,167003.0,40.42138364779874,59.090146750524106,49.55345911949686
2015-12-14,870.75,877.75,868.0,874.0,3.5,874.25,95668.0,186489.0,44.2928870292887,61.01882845188285,52.69665271966527
2015-12-11,878.25,884.25,870.0,870.25,7.5,870.75,114703.0,195837.0,45.972573839662445,64.4493670886076,54.438818565400844
2015-12-10,877.0,886.5,872.75,878.25,1.5,878.25,94296.0,215374.0,42.81991525423729,63.92161016949152,52.79237288135593
2015-12-09,877.0,883.75,869.75,876.75,1.5,876.75,113588.0,221560.0,38.68487394957983,62.30882352941177,49.49159663865546
2015-12-08,886.0,887.0,872.75,876.25,5.5,876.75,144045.0,237552.0,36.34105263157895,59.91789473684211,46.74947368421053
2015-12-07,906.0,909.75,881.25,885.25,23.75,882.25,149535.0,247654.0,36.34243697478992,58.03361344537815,46.035714285714285
2015-12-04,897.0,907.0,892.75,905.5,8.5,906.0,115074.0,254745.0,31.834033613445378,54.7436974789916,41.90966386554622
2015-12-03,891.0,898.0,885.0,896.5,5.25,897.5,108536.0,260336.0,32.9811320754717,51.278825995807125,41.57232704402516
2015-12-02,889.0,894.75,884.5,890.5,3.0,892.25,105703.0,268077.0,37.9454926624738,54.104821802935014,46.23899371069182
2015-12-01,881.0,891.75,880.0,889.0,8.25,889.25,108838.0,275235.0,41.833333333333336,53.675105485232066,47.43037974683544
2015-11-30,873.0,883.25,870.25,880.75,8.0,881.0,99086.0,282226.0,40.51380042462845,53.09341825902335,46.2271762208068
2015-11-27,874.25,877.75,871.0,873.75,2.25,873.0,53368.0,281387.0,39.625,58.72457627118644,48.847457627118644
2015-11-25,863.0,877.0,861.5,873.75,11.5,875.25,98165.0,286505.0,39.08245243128964,59.82875264270613,48.756871035940804
2015-11-24,864.0,869.25,861.25,863.75,0.5,863.75,83846.0,290631.0,32.67728237791932,57.252653927813164,43.78556263269639
2015-11-23,855.0,865.25,844.25,863.5,6.75,864.25,128503.0,291143.0,28.533898305084747,52.726694915254235,39.480932203389834
2015-11-20,860.0,861.25,852.0,857.0,2.5,857.5,105118.0,293611.0,36.67091295116773,57.452229299363054,47.125265392781316
2015-11-19,858.0,863.0,852.5,859.5,2.25,860.0,90112.0,296566.0,42.33684210526316,61.572631578947366,52.437894736842104
2015-11-18,864.0,867.5,852.5,858.0,6.25,857.75,119259.0,289437.0,46.53601694915254,65.15042372881356,55.65889830508475
2015-11-17,859.5,865.0,857.75,863.5,4.5,864.0,69318.0,289829.0,47.141649048625794,64.66173361522199,55.959830866807614
2015-11-16,854.25,860.5,851.25,859.5,4.25,859.5,65879.0,289797.0,44.529661016949156,65.24788135593221,54.3771186440678
2015-11-13,862.5,862.5,854.5,855.25,7.75,855.25,62898.0,288972.0,39.27542372881356,60.17584745762712,49.67584745762712
2015-11-12,869.75,874.75,865.25,869.75,0.75,869.25,925.0,978.0,43.79704016913319,63.68710359408034,53.71458773784355
2015-11-11,865.75,869.75,863.5,868.5,4.0,868.5,763.0,1997.0,45.29025423728814,66.00847457627118,55.519067796610166
2015-11-10,875.0,875.25,859.25,866.0,9.0,864.5,1241.0,3313.0,45.20338983050848,65.67161016949153,54.74576271186441
2015-11-09,872.0,877.25,871.25,874.0,2.25,873.5,2312.0,4324.0,43.1,62.763829787234044,52.00851063829787
2015-11-06,868.0,873.0,863.25,871.25,3.5,871.25,1327.0,5260.0,53.115546218487395,68.7626050420168,60.79621848739496
2015-11-05,882.5,882.5,867.25,869.25,14.25,867.75,2973.0,6397.0,56.07610993657505,72.02536997885835,63.81606765327695
2015-11-04,878.5,886.25,878.5,883.25,3.5,882.0,4098.0,8220.0,55.25316455696203,71.23839662447257,62.40928270042194
2015-11-03,878.5,887.5,875.0,879.0,0.75,878.5,6565.0,10170.0,52.317021276595746,72.26382978723404,61.0531914893617
2015-11-02,883.75,889.25,877.25,878.5,6.0,877.75,7168.0,12115.0,51.89640591966173,70.38266384778012,59.98097251585624
2015-10-30,877.0,886.75,876.75,882.75,5.0,883.75,20809.0,21292.0,44.688559322033896,63.597457627118644,53.91949152542373
2015-10-29,881.0,885.0,873.25,877.75,2.75,878.75,69644.0,41633.0,45.87315010570825,66.1522198731501,56.13107822410148
2015-10-28,890.5,891.0,881.0,881.0,9.75,881.5,81006.0,68518.0,50.25684210526316,67.1978947368421,58.48842105263158
2015-10-27,885.75,895.25,882.0,891.0,6.25,891.25,70703.0,84077.0,49.65052631578947,63.701052631578946,56.153684210526315
2015-10-26,895.0,899.5,884.0,886.0,10.5,885.0,112827.0,117713.0,47.683438155136265,64.33123689727464,55.702306079664574
2015-10-23,898.75,901.0,892.0,892.75,3.25,895.5,112694.0,181644.0,52.642857142857146,71.59243697478992,61.65126050420168
2015-10-22,905.0,913.0,897.5,898.25,6.5,898.75,140543.0,194338.0,50.69117647058823,74.58613445378151,61.82983193277311
2015-10-21,896.0,907.0,894.5,905.5,9.25,905.25,122763.0,205272.0,50.10504201680672,74.52310924369748,61.392857142857146
2015-10-20,890.25,901.75,889.5,896.0,5.0,896.0,130326.0,216471.0,47.25840336134454,73.91806722689076,59.38235294117647
2015-10-19,897.5,900.5,890.75,891.0,7.25,891.0,129749.0,238573.0,43.05882352941177,71.22478991596638,55.94117647058823
2015-10-16,904.25,910.5,897.25,900.0,7.0,898.25,124131.0,251395.0,44.757894736842104,69.91368421052631,57.44842105263158
2015-10-15,909.0,915.75,904.0,905.25,5.25,905.25,127474.0,259405.0,47.04210526315789,76.21473684210527,60.85263157894737
2015-10-14,912.0,919.75,909.0,910.0,3.5,910.5,149593.0,272368.0,47.82526315789474,77.3242105263158,61.86105263157895
2015-10-13,886.25,915.0,886.0,912.0,26.5,914.0,220425.0,278897.0,51.25,76.11764705882354,63.464285714285715
2015-10-12,885.5,894.5,885.5,887.0,1.75,887.5,107933.0,289219.0,53.437894736842104,77.59789473684211,65.05684210526316
2015-10-09,880.5,897.0,871.5,885.5,4.5,885.75,219368.0,298907.0,55.01890756302521,75.5609243697479,64.98529411764706
2015-10-08,890.0,891.75,880.0,881.0,9.75,881.25,136494.0,317493.0,55.17154811715481,77.42259414225941,65.418410041841
2015-10-07,887.25,896.0,885.75,891.5,3.0,891.0,106745.0,332082.0,53.44142259414226,78.49581589958159,64.84309623430963
2015-10-06,879.25,895.5,879.25,887.5,3.75,888.0,120723.0,339607.0,53.592901878914404,76.1294363256785,63.68893528183716
2015-10-05,874.0,886.0,872.0,883.25,10.0,884.25,99386.0,345293.0,54.22641509433962,71.84067085953879,61.9748427672956
2015-10-02,877.0,882.0,868.25,875.0,3.0,874.25,159126.0,348203.0,51.64767932489451,66.86286919831224,59.15822784810127
2015-10-01,891.5,899.25,876.75,878.0,14.75,877.25,159374.0,362761.0,55.5836820083682,72.39539748953975,63.53138075313807
2015-09-30,883.5,902.25,881.25,892.25,7.75,892.0,180141.0,365610.0,58.46025104602511,77.9560669456067,67.49372384937239
2015-09-29,876.25,884.75,873.5,884.25,7.5,884.25,95873.0,371625.0,60.73640167364017,77.59623430962343,68.74267782426779
2015-09-28,888.0,892.0,875.75,877.75,12.5,876.75,110579.0,382579.0,62.0418410041841,78.94560669456067,69.82845188284519
2015-09-25,869.0,890.0,869.0,888.75,21.25,889.25,142744.0,386310.0,60.48643006263048,78.92693110647181,68.67432150313152
2015-09-24,863.0,869.25,858.0,868.75,4.25,868.0,101714.0,383886.0,59.68267223382046,80.1419624217119,69.05219206680584
2015-09-23,861.25,869.5,861.0,863.0,2.0,863.75,95252.0,383932.0,59.419624217119,80.60960334029228,69.10020876826722
2015-09-22,871.25,873.5,861.0,862.5,12.5,861.75,105437.0,383368.0,59.0461215932914,80.80922431865828,68.88469601677149
2015-09-21,868.0,877.25,865.0,874.0,7.0,874.25,90340.0,384567.0,58.987473903966595,81.45093945720251,69.24425887265136
2015-09-18,883.75,886.5,866.5,867.25,17.25,867.25,110228.0,381796.0,59.668067226890756,82.55042016806723,70.69117647058823
2015-09-17,886.75,890.5,880.5,884.25,2.75,884.5,73124.0,383182.0,61.43423799582463,84.06680584551148,72.22546972860125
2015-09-16,889.0,894.5,883.25,886.75,1.75,887.25,116104.0,383492.0,61.58158995815899,84.5376569037657,72.17154811715481
2015-09-15,886.5,894.5,883.0,889.75,4.75,889.0,98921.0,380962.0,58.81380753138075,84.6213389121339,70.9602510460251
2015-09-14,874.5,888.5,874.5,883.0,10.0,884.25,100400.0,380352.0,54.517819706498955,81.78825995807128,67.36897274633124
2015-09-11,886.0,888.75,866.0,888.75,3.25,887.75,454.0,877.0,60.17154811715481,79.94351464435147,69.23849372384937
2015-09-10,882.75,888.0,882.75,884.5,1.75,884.5,351.0,1092.0,63.3027139874739,82.31732776617955,71.72442588726514
2015-09-09,888.25,894.0,882.5,882.75,8.0,882.75,573.0,1444.0,65.0,84.2133891213389,73.56694560669456
2015-09-08,884.0,895.0,882.25,889.75,13.5,890.75,923.0,2168.0,65.81628392484342,86.47181628392484,75.33402922755741
2015-09-04,879.75,885.5,876.5,877.0,2.5,877.25,860.0,2757.0,67.97286012526096,90.63883089770354,78.14613778705636
2015-09-03,883.75,891.25,878.5,879.0,4.0,879.75,991.0,3382.0,68.05833333333334,90.69375,78.07083333333334
2015-09-02,882.5,888.5,874.25,883.75,1.0,883.75,910.0,3907.0,67.56041666666667,90.13333333333334,77.70208333333333
2015-09-01,891.75,896.0,878.75,884.75,12.75,884.75,1349.0,4387.0,66.22755741127348,89.23173277661796,76.79123173277662
2015-08-31,894.25,898.0,880.75,896.5,4.25,897.5,2118.0,4852.0,65.92484342379959,87.09812108559498,75.44258872651356
2015-08-28,887.25,895.75,884.0,894.5,7.0,893.25,9189.0,10101.0,61.927083333333336,85.10625,72.79166666666667
2015-08-27,879.5,894.25,879.5,885.5,8.5,886.25,15062.0,15315.0,60.19375,83.41875,71.25625
2015-08-26,893.25,898.5,877.0,878.5,16.5,877.75,14480.0,19193.0,59.01670146137787,83.48851774530272,70.72442588726514
2015-08-25,893.0,908.0,887.0,893.75,1.5,894.25,13842.0,23449.0,60.21503131524008,83.13152400835074,71.1419624217119
2015-08-24,899.5,906.25,874.0,894.75,12.5,892.75,17432.0,29673.0,61.73640167364017,83.7029288702929,72.18410041841004
2015-08-21,920.0,921.0,903.75,905.5,16.25,905.25,18585.0,40709.0,63.725,85.49166666666666,73.75208333333333
2015-08-20,904.75,923.0,898.25,921.0,18.0,921.5,15500.0,42472.0,63.10855949895616,82.27139874739039,71.95407098121086
2015-08-19,913.0,917.25,899.75,905.5,9.75,903.5,15053.0,42389.0,65.53444676409185,82.40918580375782,73.03340292275574
2015-08-18,925.25,929.25,912.25,913.25,13.75,913.25,13274.0,43187.0,66.66247379454927,83.9622641509434,74.33962264150944
2015-08-17,920.0,933.5,919.25,927.25,1.75,927.0,9254.0,45107.0,66.18162839248434,85.4384133611691,74.8204592901879
2015-08-14,938.5,938.5,921.75,925.0,11.0,925.25,9182.0,45353.0,66.18162839248434,90.37578288100208,77.59081419624218
2015-08-13,953.0,995.0,953.0,995.0,42.0,993.0,815.0,709.0,65.44258872651356,89.3089770354906,76.80375782881002
2015-08-12,1018.75,1018.75,950.0,954.5,63.0,951.0,888.0,1398.0,65.89121338912133,89.2029288702929,77.11297071129707
2015-08-11,1039.0,1039.5,1013.0,1013.75,30.75,1014.0,724.0,1895.0,66.92050209205021,88.63389121338912,77.00836820083683
2015-08-10,1010.5,1045.75,1010.5,1045.0,35.75,1044.75,1616.0,3023.0,67.48326359832636,88.81171548117155,77.38075313807532
2015-08-07,982.0,1010.25,982.0,1008.0,23.5,1009.0,930.0,3625.0,67.78242677824268,87.55857740585775,76.69665271966527
2015-08-06,991.0,992.0,983.75,986.0,6.25,985.5,1470.0,3868.0,67.54716981132076,86.18238993710692,75.9664570230608
2015-08-05,974.5,992.25,974.5,992.0,15.75,991.75,1026.0,4301.0,66.7112970711297,89.2489539748954,77.14853556485356
2015-08-04,977.5,986.5,971.0,975.25,1.5,976.0,2073.0,5190.0,66.0020920502092,89.02510460251047,76.93933054393305
