week_ending,state_name,country_code,location_desc,begin_code,zip_5,county_ansi,state_alpha,util_practice_desc,domain_desc,asd_desc,freq_desc,prodn_practice_desc,end_code,sector_desc,short_desc,country_name,Value,reference_period_desc,CV (%),class_desc,asd_code,agg_level_desc,county_name,region_desc,watershed_desc,state_ansi,congr_district_code,domaincat_desc,state_fips_code,group_desc,watershed_code,unit_desc,source_desc,load_time,county_code,statisticcat_desc,commodity_desc,year
"",ALABAMA,9000,ALABAMA,00,"","",AL,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"20,090,000",YEAR,"",ALL CLASSES,"",STATE,"","","",01,"",NOT SPECIFIED,01,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",ARKANSAS,9000,ARKANSAS,00,"","",AR,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"155,330,000",YEAR,"",ALL CLASSES,"",STATE,"","","",05,"",NOT SPECIFIED,05,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",DELAWARE,9000,DELAWARE,00,"","",DE,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"6,920,000",YEAR,"",ALL CLASSES,"",STATE,"","","",10,"",NOT SPECIFIED,10,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",FLORIDA,9000,FLORIDA,00,"","",FL,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"1,102,000",YEAR,"",ALL CLASSES,"",STATE,"","","",12,"",NOT SPECIFIED,12,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",GEORGIA,9000,GEORGIA,00,"","",GA,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"13,330,000",YEAR,"",ALL CLASSES,"",STATE,"","","",13,"",NOT SPECIFIED,13,FIELD CROPS,00000000,BU,SURVEY,2017-02-23 15:00:08,"",PRODUCTION,SOYBEANS,2015
"",ILLINOIS,9000,ILLINOIS,00,"","",IL,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"544,320,000",YEAR,"",ALL CLASSES,"",STATE,"","","",17,"",NOT SPECIFIED,17,FIELD CROPS,00000000,BU,SURVEY,2016-12-02 09:27:59,"",PRODUCTION,SOYBEANS,2015
"",INDIANA,9000,INDIANA,00,"","",IN,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"275,000,000",YEAR,"",ALL CLASSES,"",STATE,"","","",18,"",NOT SPECIFIED,18,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",IOWA,9000,IOWA,00,"","",IA,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"553,700,000",YEAR,"",ALL CLASSES,"",STATE,"","","",19,"",NOT SPECIFIED,19,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",KANSAS,9000,KANSAS,00,"","",KS,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"148,610,000",YEAR,"",ALL CLASSES,"",STATE,"","","",20,"",NOT SPECIFIED,20,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",KENTUCKY,9000,KENTUCKY,00,"","",KY,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"88,690,000",YEAR,"",ALL CLASSES,"",STATE,"","","",21,"",NOT SPECIFIED,21,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",LOUISIANA,9000,LOUISIANA,00,"","",LA,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"56,990,000",YEAR,"",ALL CLASSES,"",STATE,"","","",22,"",NOT SPECIFIED,22,FIELD CROPS,00000000,BU,SURVEY,2017-02-23 15:00:08,"",PRODUCTION,SOYBEANS,2015
"",MARYLAND,9000,MARYLAND,00,"","",MD,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"20,600,000",YEAR,"",ALL CLASSES,"",STATE,"","","",24,"",NOT SPECIFIED,24,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",MICHIGAN,9000,MICHIGAN,00,"","",MI,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"98,980,000",YEAR,"",ALL CLASSES,"",STATE,"","","",26,"",NOT SPECIFIED,26,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",MINNESOTA,9000,MINNESOTA,00,"","",MN,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"377,500,000",YEAR,"",ALL CLASSES,"",STATE,"","","",27,"",NOT SPECIFIED,27,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
"",MISSISSIPPI,9000,MISSISSIPPI,00,"","",MS,ALL UTILIZATION PRACTICES,TOTAL,"",ANNUAL,ALL PRODUCTION PRACTICES,00,CROPS,"SOYBEANS - PRODUCTION, MEASURED IN BU",UNITED STATES,"104,420,000",YEAR,"",ALL CLASSES,"",STATE,"","","",28,"",NOT SPECIFIED,28,FIELD CROPS,00000000,BU,SURVEY,2016-09-30 12:00:00,"",PRODUCTION,SOYBEANS,2015
